"name","winner","firstLetter","letters","secondLetter","vowels","nonVowels","secondLetterVowel"
"Ed Pednault","-","E","10","d","3","6","0"
"Neela Khan","+","N","9","e","4","5","1"
"Bir Bhanu","+","B","8","i","3","5","1"
"Arlindo Oliveira","-","A","15","r","6","7","0"
"Irina Tchoumatchenko","-","I","19","r","7","11","0"
"Robert C. Holte","+","R","12","o","4","8","1"
"Michele Sebag","+","M","12","i","5","7","1"
"Jorg-Uwe Kietz","+","J","12","o","4","7","1"
"Yoshifumi Sakai","+","Y","14","o","7","7","1"
"Thomas E. Kammeyer","-","T","15","h","5","9","0"
"Yoav Freund","+","Y","10","o","4","6","1"
"R. Andrew McCallum","-","R","15",".","3","11","0"
"Jonathan Gratch","+","J","14","o","4","10","1"
"Margo Guertin","+","M","12","a","5","7","1"
"Huw Roberts","+","H","10","u","3","7","1"
"Sally Goldman","+","S","12","a","3","9","1"
"Bhaskar Dasgupta","-","B","15","h","5","10","0"
"Fernando Pereira","+","F","15","e","7","8","1"
"Nina Mishra","+","N","10","i","4","6","1"
"Wray Buntine","-","W","11","r","4","7","0"
"William A. Greene","+","W","14","i","6","7","1"
"Yolanda Gil","+","Y","10","o","4","6","1"
"Chris Drummond","-","C","13","h","3","10","0"
"Claude Sammut","-","C","12","l","5","7","0"
"Charles X. Ling","-","C","12","h","3","9","0"
"Sanjay Jain","+","S","10","a","4","6","1"
"Stefan Kramer","-","S","12","t","4","8","0"
"Cristina Baroglio","-","C","16","r","7","9","0"
"Dwight Schrute","+","D","13","w","3","10","0"
"Leslie Pack Kaelbling","+","L","19","e","7","12","1"
"Philip Chan","-","P","10","h","3","7","0"
"Yishay Mansour","+","Y","13","i","5","8","1"
"Michael I. Jordan","+","M","14","i","5","8","1"
"Patrick M. Murphy","+","P","14","a","3","11","1"
"Karsten Verbeurgt","+","K","16","a","5","11","1"
"Attilio Giordana","-","A","15","t","7","7","0"
"Gerald F. DeJong","+","G","13","e","4","9","1"
"Thomas Zeugmann","-","T","14","h","5","9","0"
"Mandayam T. Suraj","+","M","14","a","5","9","1"
"Michael Littman","+","M","14","i","5","9","1"
"Shaul Markovitch","-","S","15","h","5","10","0"
"Eric Allender","-","E","12","r","3","7","0"
"Cullen Schaffer","+","C","14","u","4","10","1"
"Roberto Piola","+","R","12","o","6","6","1"
"Nader Bshouty","+","N","12","a","4","8","1"
"Bruce A. MacDonald","-","B","15","r","5","9","0"
"Kamal M. Ali","+","K","9","a","3","5","1"
"Foster J. Provost","+","F","14","o","4","10","1"
"Wolfgang Janko","+","W","13","o","4","9","1"
"Seth Flanders","+","S","12","e","3","9","1"
"Peter Bartlett","+","P","13","e","4","9","1"
"Craig Knoblock","-","C","13","r","4","9","0"
"Earl S. Harris Jr.","+","E","13","a","3","9","1"
"Prasad Tadepalli","-","P","15","r","6","9","0"
"Stan Matwin","-","S","10","t","3","7","0"
"Pascal Koiran","+","P","12","a","5","7","1"
"Sandra Panizza","+","S","13","a","5","8","1"
"George Berg","+","G","10","e","4","6","1"
"Stephen Kwek","-","S","11","t","3","8","0"
"J. R. Quinlan","-","J","9",".","3","6","0"
"Sebastian Seung","+","S","14","e","6","8","1"
"Susan L. Epstein","+","S","13","u","4","8","1"
"Priscilla Rasmussen","-","P","18","r","6","12","0"
"Steven Minton","-","S","12","t","4","8","0"
"Lance Riley","+","L","10","a","4","6","1"
"Jose L. Balcazar","+","J","13","o","5","8","1"
"William Sakas","+","W","12","i","5","7","1"
"Claudio Facchinetti","-","C","18","l","8","10","0"
"Vijay Raghavan","+","V","13","i","5","8","1"
"Bob Evans","+","B","8","o","2","5","1"
"Neil Berkman","+","N","11","e","4","7","1"
